song_title_cleaned,num_annotated,num_not_annotated,num_views
Omert,56,18,425.6K
We_Dont_Care,71,19,363.5K
RIP__My_Youth,48,7,369.2K
Back_That_Azz_Up,46,55,374.1K
I_dont_let_go,5,41,361.9K
Nightmare,101,32,354.8K
Ready_or_Not,44,30,352.9K
RENTAL,40,32,344.1K
monster,37,52,344.7K
Slingshot,9,27,339.4K
Aquemini,92,1,342.7K
Bands,40,11,330.3K
Provider,36,42,345.4K
I_Wish,56,65,333K
Buy_U_A_Drank_Shawty_Snappin,46,41,329K
Dead_Presidents_II,55,52,316.8K
Confessions_of_a_Dangerous_Mind,33,89,326.6K
Spell_It_Out,19,3,308.5K
Panini,22,13,368.8K
Ive_Been_Waiting,5,86,309.1K
Marmalade,27,65,307.3K
Did_It_Onem,72,18,308.5K
ATLiens,68,9,304.2K
Calling_My_Spirit,18,46,317.8K
Encore,28,63,302.4K
BMF_Blowin_Money_Fast,44,43,297.8K
The_New_Workout_Plan,39,91,295.6K
Sabotage,16,86,285.8K
I_Just_Wanna_Love_U_Give_it__Me,85,35,289.3K
i_miss_the_old_u,17,76,296.3K
The_Search,31,60,340.3K
Mask_On_Remix,41,115,278.6K
Bitch_Suck_Dick,12,64,276.8K
Keep_It_Mello,3,86,271.8K
Issa,50,131,274.5K
Shade,25,58,281K
ET_Remix,27,67,199.9K
Hot_in_Herre,11,90,200.8K
_til_Infinity,38,106,192.7K
Lil_Bebe,18,50,204.8K
Sesame_Street,5,26,187.9K
MEGATRON,13,75,225.5K
Da_Art_of_Storytellin_Pt_,57,11,194.1K
XXL_Freshmen__Cypher__Part_,38,33,196.6K
What_These_Bitches_Want,57,36,189.9K
Location,29,82,191.6K
Put_it_On_Me,15,77,189.5K
Jump_Around,22,67,181.7K
FlatBed_Freestyle,22,41,184.5K
Welcome_to_Jamrock,55,20,176.1K
Billionaire,17,64,176.7K
Numb_Numb_Juice,12,33,202.9K
Intro,60,10,170.1K
Burger,51,57,166.8K
Rover_,10,89,169.9K
Intergalactic,43,52,163.9K
Jazz_Weve_Got,63,41,166.1K
Cum_on_Everybody,118,34,164.2K
Almeda,16,75,195K
Toka,77,82,161.5K
Somebodys_Gotta_Die,21,90,159K
DISTRICT,61,44,155.1K
Bad_Boy,0,73,153.9K
Fuck_It_I_Dont_Want_You_Back,39,28,153K
Frontin,9,58,153.8K
Move_Bitch,63,36,150.2K
Dmelo,40,16,147.2K
